"tenant","year","month","metric","value"
"demo",2001,10,"query-no-result",100
"demo",2001,11,"query-no-result",1400
"demo",2001,12,"query-no-result",300
"demo",2002,1,"query-no-result",800
"demo",2002,2,"query-no-result",20
"demo",2002,3,"query-no-result",20
"demo",2002,4,"query-no-result",400
"demo",2002,5,"query-no-result",5
"demo",2002,6,"query-no-result",150
"demo",2002,7,"query-no-result",400
"demo",2002,8,"query-no-result",1600
"demo",2002,9,"query-no-result",1600
"demo",2002,10,"query-no-result",1400
"demo",2002,11,"query-no-result",800
"demo",2002,12,"query-no-result",1400
"demo",2003,1,"query-no-result",300
"demo",2003,2,"query-no-result",800
"demo",2003,3,"query-no-result",100
"demo",2003,4,"query-no-result",5
"demo",2003,5,"query-no-result",1800
"demo",2003,6,"query-no-result",150
"demo",2003,7,"query-no-result",300
"demo",2003,8,"query-no-result",800
"demo",2003,9,"query-no-result",1000
"demo",2003,10,"query-no-result",600
"demo",2003,11,"query-no-result",1000
"demo",2003,12,"query-no-result",600
"demo",2004,1,"query-no-result",1600
"demo",2004,2,"query-no-result",5
"demo",2004,3,"query-no-result",1000
"demo",2004,4,"query-no-result",600
"demo",2004,5,"query-no-result",400
"demo",2004,6,"query-no-result",5
"demo",2004,7,"query-no-result",5
"demo",2004,8,"query-no-result",100
"demo",2004,9,"query-no-result",1000
"demo",2004,10,"query-no-result",1600
"demo",2004,11,"query-no-result",100
"demo",2004,12,"query-no-result",800
"demo",2005,1,"query-no-result",150
"demo",2005,2,"query-no-result",5
"demo",2005,3,"query-no-result",100
"demo",2005,4,"query-no-result",800
"demo",2005,5,"query-no-result",300
"demo",2005,6,"query-no-result",1000
"demo",2005,7,"query-no-result",100
"demo",2005,8,"query-no-result",300
"demo",2005,9,"query-no-result",1000
"demo",2005,10,"query-no-result",150
"demo",2005,11,"query-no-result",300
"demo",2005,12,"query-no-result",20
"demo",2006,1,"query-no-result",1800
"demo",2006,2,"query-no-result",1800
"demo",2006,3,"query-no-result",1200
"demo",2006,4,"query-no-result",1600
"demo",2006,5,"query-no-result",1400
"demo",2006,6,"query-no-result",20
"demo",2006,7,"query-no-result",600
"demo",2006,8,"query-no-result",20
"demo",2006,9,"query-no-result",100
"demo",2006,10,"query-no-result",1600
"demo",2006,11,"query-no-result",5
"demo",2006,12,"query-no-result",100
"demo",2007,1,"query-no-result",20
"demo",2007,2,"query-no-result",5
"demo",2007,3,"query-no-result",1800
"demo",2007,4,"query-no-result",100
"demo",2007,5,"query-no-result",1600
"demo",2007,6,"query-no-result",1000
"demo",2007,7,"query-no-result",300
"demo",2007,8,"query-no-result",800
"demo",2007,9,"query-no-result",300
"demo",2007,10,"query-no-result",400
"demo",2007,11,"query-no-result",1200
"demo",2007,12,"query-no-result",1800
"demo",2008,1,"query-no-result",1000
"demo",2008,2,"query-no-result",600
"demo",2008,3,"query-no-result",150
"demo",2008,4,"query-no-result",1800
"demo",2008,5,"query-no-result",100
"demo",2008,6,"query-no-result",20
"demo",2008,7,"query-no-result",1600
"demo",2008,8,"query-no-result",800
"demo",2008,9,"query-no-result",150
"demo",2008,10,"query-no-result",1600
"demo",2008,11,"query-no-result",5
"demo",2008,12,"query-no-result",300
"demo",2009,1,"query-no-result",1600
"demo",2009,2,"query-no-result",1800
"demo",2009,3,"query-no-result",100
"demo",2009,4,"query-no-result",600
"demo",2009,5,"query-no-result",300
"demo",2009,6,"query-no-result",800
"demo",2009,7,"query-no-result",100
"demo",2009,8,"query-no-result",20
"demo",2009,9,"query-no-result",1400
"demo",2009,10,"query-no-result",1600
"demo",2009,11,"query-no-result",300
"demo",2009,12,"query-no-result",300
"demo",2010,1,"query-no-result",1200
"demo",2010,2,"query-no-result",1600
"demo",2010,3,"query-no-result",100
"demo",2010,4,"query-no-result",300
"demo",2010,5,"query-no-result",800
"demo",2010,6,"query-no-result",150
"demo",2010,7,"query-no-result",1600
"demo",2010,8,"query-no-result",600
"demo",2010,9,"query-no-result",1600
"demo",2010,10,"query-no-result",400
"demo",2010,11,"query-no-result",150
"demo",2010,12,"query-no-result",1400
"demo",2011,1,"query-no-result",600
"demo",2011,2,"query-no-result",300
"demo",2011,3,"query-no-result",5
"demo",2011,4,"query-no-result",150
"demo",2011,5,"query-no-result",600
"demo",2011,6,"query-no-result",150
"demo",2011,7,"query-no-result",1600
"demo",2011,8,"query-no-result",5
"demo",2011,9,"query-no-result",800
"demo",2011,10,"query-no-result",400
"demo",2011,11,"query-no-result",5
"demo",2011,12,"query-no-result",150
"demo",2012,1,"query-no-result",1400
"demo",2012,2,"query-no-result",20
"demo",2012,3,"query-no-result",1200
"demo",2012,4,"query-no-result",400
"demo",2012,5,"query-no-result",600
"demo",2012,6,"query-no-result",300
"demo",2012,7,"query-no-result",300
"demo",2012,8,"query-no-result",1000
"demo",2012,9,"query-no-result",1000
"demo",2012,10,"query-no-result",300
"demo",2012,11,"query-no-result",1800
"demo",2012,12,"query-no-result",20
"demo",2013,1,"query-no-result",800
"demo",2013,2,"query-no-result",20
"demo",2013,3,"query-no-result",5
"demo",2013,4,"query-no-result",1200
"demo",2013,5,"query-no-result",300
"demo",2013,6,"query-no-result",20
"demo",2013,7,"query-no-result",20
"demo",2013,8,"query-no-result",150
"demo",2013,9,"query-no-result",1400
"demo",2013,10,"query-no-result",1200
"demo",2013,11,"query-no-result",400
"demo",2013,12,"query-no-result",20
"demo",2014,1,"query-no-result",150
"demo",2014,2,"query-no-result",5
"demo",2014,3,"query-no-result",1800
"demo",2014,4,"query-no-result",5
"demo",2014,5,"query-no-result",1600
"demo",2014,6,"query-no-result",400
"demo",2014,7,"query-no-result",1200
"demo",2014,8,"query-no-result",1800
"demo",2014,9,"query-no-result",400
"demo",2014,10,"query-no-result",150
"demo",2014,11,"query-no-result",5
"demo",2014,12,"query-no-result",300
"demo",2015,1,"query-no-result",1200
"demo",2015,2,"query-no-result",5
"demo",2015,3,"query-no-result",100
"demo",2015,4,"query-no-result",1200
"demo",2015,5,"query-no-result",100
"demo",2015,6,"query-no-result",20
"demo",2015,7,"query-no-result",150
"demo",2015,8,"query-no-result",20
"demo",2015,9,"query-no-result",150
"demo",2015,10,"query-no-result",20
"demo",2015,11,"query-no-result",1400
"demo",2015,12,"query-no-result",1000
"demo",2016,1,"query-no-result",1600
"demo",2016,2,"query-no-result",1600
"demo",2016,3,"query-no-result",1000
"demo",2016,4,"query-no-result",20
"demo",2016,5,"query-no-result",100
"demo",2016,6,"query-no-result",300
"demo",2016,7,"query-no-result",400
"demo",2016,8,"query-no-result",1600
"demo",2016,9,"query-no-result",800
"demo",2016,10,"query-no-result",600
"demo",2016,11,"query-no-result",800
"demo",2016,12,"query-no-result",5
"demo",2000,1,"submissions",400
"demo",2000,2,"submissions",1600
"demo",2000,3,"submissions",400
"demo",2000,4,"submissions",300
"demo",2000,5,"submissions",150
"demo",2000,6,"submissions",600
"demo",2000,7,"submissions",1600
"demo",2000,8,"submissions",300
"demo",2000,9,"submissions",1400
"demo",2000,10,"submissions",5
"demo",2000,11,"submissions",1400
"demo",2000,12,"submissions",100
"demo",2001,1,"submissions",100
"demo",2001,2,"submissions",300
"demo",2001,3,"submissions",1600
"demo",2001,4,"submissions",100
"demo",2001,5,"submissions",1200
"demo",2001,6,"submissions",100
"demo",2001,7,"submissions",1200
"demo",2001,8,"submissions",5
"demo",2001,9,"submissions",150
"demo",2001,10,"submissions",1200
"demo",2001,11,"submissions",800
"demo",2001,12,"submissions",100
"demo",2002,1,"submissions",5
"demo",2002,2,"submissions",1000
"demo",2002,3,"submissions",20
"demo",2002,4,"submissions",600
"demo",2002,5,"submissions",100
"demo",2002,6,"submissions",400
"demo",2002,7,"submissions",150
"demo",2002,8,"submissions",20
"demo",2002,9,"submissions",1800
"demo",2002,10,"submissions",5
"demo",2002,11,"submissions",5
"demo",2002,12,"submissions",100
"demo",2003,1,"submissions",1600
"demo",2003,2,"submissions",100
"demo",2003,3,"submissions",1200
"demo",2003,4,"submissions",20
"demo",2003,5,"submissions",1600
"demo",2003,6,"submissions",1800
"demo",2003,7,"submissions",100
"demo",2003,8,"submissions",1400
"demo",2003,9,"submissions",1800
"demo",2003,10,"submissions",400
"demo",2003,11,"submissions",1200
"demo",2003,12,"submissions",800
"demo",2004,1,"submissions",1400
"demo",2004,2,"submissions",800
"demo",2004,3,"submissions",800
"demo",2004,4,"submissions",20
"demo",2004,5,"submissions",1800
"demo",2004,6,"submissions",1000
"demo",2004,7,"submissions",300
"demo",2004,8,"submissions",1800
"demo",2004,9,"submissions",1800
"demo",2004,10,"submissions",1600
"demo",2004,11,"submissions",1400
"demo",2004,12,"submissions",1800
"demo",2005,1,"submissions",300
"demo",2005,2,"submissions",150
"demo",2005,3,"submissions",1800
"demo",2005,4,"submissions",1200
"demo",2005,5,"submissions",1000
"demo",2005,6,"submissions",1600
"demo",2005,7,"submissions",400
"demo",2005,8,"submissions",600
"demo",2005,9,"submissions",600
"demo",2005,10,"submissions",1400
"demo",2005,11,"submissions",800
"demo",2005,12,"submissions",1800
"demo",2006,1,"submissions",300
"demo",2006,2,"submissions",1600
"demo",2006,3,"submissions",400
"demo",2006,4,"submissions",1800
"demo",2006,5,"submissions",1800
"demo",2006,6,"submissions",1000
"demo",2006,7,"submissions",1600
"demo",2006,8,"submissions",1800
"demo",2006,9,"submissions",800
"demo",2006,10,"submissions",1600
"demo",2006,11,"submissions",1800
"demo",2006,12,"submissions",300
"demo",2007,1,"submissions",1200
"demo",2007,2,"submissions",100
"demo",2007,3,"submissions",300
"demo",2007,4,"submissions",1600
"demo",2007,5,"submissions",600
"demo",2007,6,"submissions",5
"demo",2007,7,"submissions",1000
"demo",2007,8,"submissions",5
"demo",2007,9,"submissions",300
"demo",2007,10,"submissions",1200
"demo",2007,11,"submissions",100
"demo",2007,12,"submissions",20
"demo",2008,1,"submissions",1400
"demo",2008,2,"submissions",800
"demo",2008,3,"submissions",300
"demo",2008,4,"submissions",1800
"demo",2008,5,"submissions",150
"demo",2008,6,"submissions",400
"demo",2008,7,"submissions",1000
"demo",2008,8,"submissions",300
"demo",2008,9,"submissions",1600
"demo",2008,10,"submissions",1000
"demo",2008,11,"submissions",400
"demo",2008,12,"submissions",800
"demo",2009,1,"submissions",1200
"demo",2009,2,"submissions",1200
"demo",2009,3,"submissions",800
"demo",2009,4,"submissions",100
"demo",2009,5,"submissions",1000
"demo",2009,6,"submissions",1400
"demo",2009,7,"submissions",1000
"demo",2009,8,"submissions",20
"demo",2009,9,"submissions",1400
"demo",2009,10,"submissions",400
"demo",2009,11,"submissions",800
"demo",2009,12,"submissions",600
"demo",2010,1,"submissions",600
"demo",2010,2,"submissions",100
"demo",2010,3,"submissions",150
"demo",2010,4,"submissions",1800
"demo",2010,5,"submissions",400
"demo",2010,6,"submissions",1200
"demo",2010,7,"submissions",1000
"demo",2010,8,"submissions",800
"demo",2010,9,"submissions",150
"demo",2010,10,"submissions",20
"demo",2010,11,"submissions",400
"demo",2010,12,"submissions",1800
"demo",2011,1,"submissions",1600
"demo",2011,2,"submissions",800
"demo",2011,3,"submissions",100
"demo",2011,4,"submissions",20
"demo",2011,5,"submissions",1000
"demo",2011,6,"submissions",100
"demo",2011,7,"submissions",600
"demo",2011,8,"submissions",1400
"demo",2011,9,"submissions",1800
"demo",2011,10,"submissions",1000
"demo",2011,11,"submissions",20
"demo",2011,12,"submissions",600
"demo",2012,1,"submissions",1600
"demo",2012,2,"submissions",1400
"demo",2012,3,"submissions",150
"demo",2012,4,"submissions",400
"demo",2012,5,"submissions",100
"demo",2012,6,"submissions",1000
"demo",2012,7,"submissions",300
"demo",2012,8,"submissions",1200
"demo",2012,9,"submissions",1200
"demo",2012,10,"submissions",600
"demo",2012,11,"submissions",400
"demo",2012,12,"submissions",1200
"demo",2013,1,"submissions",1600
"demo",2013,2,"submissions",20
"demo",2013,3,"submissions",20
"demo",2013,4,"submissions",400
"demo",2013,5,"submissions",300
"demo",2013,6,"submissions",1400
"demo",2013,7,"submissions",100
"demo",2013,8,"submissions",5
"demo",2013,9,"submissions",1000
"demo",2013,10,"submissions",100
"demo",2013,11,"submissions",600
"demo",2013,12,"submissions",5
"demo",2014,1,"submissions",150
"demo",2014,2,"submissions",1800
"demo",2014,3,"submissions",1600
"demo",2014,4,"submissions",1400
"demo",2014,5,"submissions",100
"demo",2014,6,"submissions",100
"demo",2014,7,"submissions",600
"demo",2014,8,"submissions",1600
"demo",2014,9,"submissions",1200
"demo",2014,10,"submissions",150
"demo",2014,11,"submissions",100
"demo",2014,12,"submissions",600
"demo",2015,1,"submissions",300
"demo",2015,2,"submissions",1000
"demo",2015,3,"submissions",300
"demo",2015,4,"submissions",5
"demo",2015,5,"submissions",5
"demo",2015,6,"submissions",800
"demo",2015,7,"submissions",5
"demo",2015,8,"submissions",20
"demo",2015,9,"submissions",1000
"demo",2015,10,"submissions",5
"demo",2015,11,"submissions",20
"demo",2015,12,"submissions",300
"demo",2016,1,"submissions",20
"demo",2016,2,"submissions",400
"demo",2016,3,"submissions",100
"demo",2016,4,"submissions",400
"demo",2016,5,"submissions",600
"demo",2016,6,"submissions",5
"demo",2016,7,"submissions",400
"demo",2016,8,"submissions",800
"demo",2016,9,"submissions",150
"demo",2016,10,"submissions",20
"demo",2016,11,"submissions",1400
"demo",2016,12,"submissions",300
